rank,title,artist,genre,price,release_date,link
10,Shiva Stuthi Om Namah Shivaya,Vijay Sai & Anuradha Paudwal,Devotional & Spiritual,₹ 60,15 Oct 2003,https://music.apple.com/in/album/shiva-stuthi-om-namah-shivaya/1246407741?uo=2
11,Aalas Ka Pedh,The Local Train,Rock,₹ 100,25 Sep 2015,https://music.apple.com/in/album/aalas-ka-pedh/1710464344?uo=2
12,Hybrid Theory (Deluxe Edition),LINKIN PARK,Hard Rock,₹ 180,24 Oct 2000,https://music.apple.com/in/album/hybrid-theory-deluxe-edition/590431776?uo=2
13,Meteora (Deluxe Edition),LINKIN PARK,Hard Rock,₹ 110,25 Mar 2003,https://music.apple.com/in/album/meteora-deluxe-edition/590423275?uo=2
14,Tracy Chapman,Tracy Chapman,Singer/Songwriter,₹ 120,05 Apr 1988,https://music.apple.com/in/album/tracy-chapman/79565550?uo=2
15,Orange (Original Motion Picture Soundtrack),Harris Jayaraj,Telugu,₹ 80,25 Oct 2010,https://music.apple.com/in/album/orange-original-motion-picture-soundtrack/931714546?uo=2
16,This Is Acting (Deluxe Version),Sia,Pop,₹ 220,29 Jan 2016,https://music.apple.com/in/album/this-is-acting-deluxe-version/1162482526?uo=2
17,Dirty Dancing (Original Motion Picture Soundtrack),Various Artists,Soundtrack,₹ 170,18 Jul 1987,https://music.apple.com/in/album/dirty-dancing-original-motion-picture-soundtrack/254938499?uo=2
18,1000 Forms of Fear,Sia,Pop,₹ 170,04 Jul 2014,https://music.apple.com/in/album/1000-forms-of-fear/882945378?uo=2
19,19 Love Songs,Michael Learns to Rock,Pop,₹ 70,26 Aug 2002,https://music.apple.com/in/album/19-love-songs/696117613?uo=2
20,Genius Of Kishore Kumar – Sentimental Hits,Kishore Kumar,Bollywood,₹ 160,01 Jan 2013,https://music.apple.com/in/album/genius-of-kishore-kumar-sentimental-hits/1442352302?uo=2
21,Vaaqif,The Local Train,Rock,₹ 120,29 Jan 2018,https://music.apple.com/in/album/vaaqif/1710520020?uo=2
22,Atom Heart Mother,Pink Floyd,Rock,₹ 190,02 Oct 1970,https://music.apple.com/in/album/atom-heart-mother/1065975345?uo=2
23,Moon Safari,Air,Electronic,₹ 110,16 Jan 1998,https://music.apple.com/in/album/moon-safari/697240234?uo=2
24,Young as the Morning Old as the Sea (Deluxe Version),Passenger,Traditional Folk,₹ 160,23 Sep 2016,https://music.apple.com/in/album/young-as-the-morning-old-as-the-sea-deluxe-version/1124521434?uo=2
25,Gehraiyaan (Original Motion Picture Soundtrack),OAFF & Savera,Bollywood,₹ 108,07 Feb 2022,https://music.apple.com/in/album/gehraiyaan-original-motion-picture-soundtrack/1608688909?uo=2
